"學年度","細學類","細學類名稱","科系名稱","日間∕進修別","等級別","總計","男生計","女生計","一年級男生","一年級女生","二年級男生","二年級女生","三年級男生","三年級女生","四年級男生","四年級女生","五年級男生","五年級女生","六年級男生","六年級女生","七年級男生","七年級女生","延修生男生","延修生女生"
111,01113,特殊教育細學類,特殊教育學系,D 日,B 學士,170,40,130,12,31,10,30,9,29,8,28,0,0,0,0,0,0,1,12
111,01113,特殊教育細學類,特殊教育學系,N 職,M 碩士,84,15,69,3,24,4,18,2,17,3,8,3,2,0,0,0,0,0,0
111,01113,特殊教育細學類,特殊教育學系,N 職,M 碩士,62,6,56,4,12,1,11,1,14,0,11,0,5,0,3,0,0,0,0
111,01113,特殊教育細學類,特殊教育學系,N 職,M 碩士,68,7,61,1,24,6,20,0,11,0,4,0,2,0,0,0,0,0,0
111,01113,特殊教育細學類,特殊教育學系,N 職,M 碩士,50,3,47,0,8,0,6,2,12,0,6,1,15,0,0,0,0,0,0
111,01113,特殊教育細學類,特殊教育學系,N 職,M 碩士,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
111,01113,特殊教育細學類,特殊教育學系,N 職,M 碩士,58,7,51,6,16,0,21,1,6,0,4,0,3,0,1,0,0,0,0
111,01113,特殊教育細學類,特殊教育學系,N 職,M 碩士,66,7,59,3,25,2,26,2,3,0,2,0,2,0,1,0,0,0,0
111,01113,特殊教育細學類,特殊教育學系早期療育碩士班,D 日,M 碩士,38,2,36,0,11,1,9,0,10,1,6,0,0,0,0,0,0,0,0
111,01113,特殊教育細學類,特殊教育學系身心障礙特教教學碩士在職專班,N 職,M 碩士,2,0,2,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0
111,01113,特殊教育細學類,特殊教育學系身心障礙與輔助科技碩士班,D 日,M 碩士,25,2,23,0,6,1,4,0,7,0,2,1,2,0,2,0,0,0,0
111,01113,特殊教育細學類,特殊教育學系特殊教育教學碩士班,N 職,M 碩士,16,4,12,0,0,0,0,1,5,2,0,0,6,1,1,0,0,0,0
111,01113,特殊教育細學類,特殊教育學系特殊教育博士班,D 日,D 博士,28,13,15,1,3,2,2,4,2,1,1,0,2,2,0,3,5,0,0
111,01113,特殊教育細學類,特殊教育學系特殊教育碩士在職專班,N 職,M 碩士,77,15,62,5,10,2,7,3,12,2,14,3,13,0,6,0,0,0,0
111,01113,特殊教育細學類,特殊教育學系特殊教育碩士班,D 日,M 碩士,35,7,28,1,12,2,4,3,2,0,5,0,4,1,0,0,1,0,0
111,01113,特殊教育細學類,特殊教育學系特教教學碩士學位班,N 職,M 碩士,10,2,8,0,0,0,0,0,0,0,0,1,2,1,6,0,0,0,0
111,01113,特殊教育細學類,特殊教育學系特教教學碩士學位班(夜間班),N 職,M 碩士,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
111,01113,特殊教育細學類,特殊教育學系資賦優異教育碩士班,D 日,M 碩士,12,3,9,1,2,1,2,0,3,1,1,0,1,0,0,0,0,0,0
111,01113,特殊教育細學類,特殊教育學系輔助科技碩士班,D 日,M 碩士,11,4,7,2,2,1,2,1,1,0,2,0,0,0,0,0,0,0,0
111,01113,特殊教育細學類,特殊教育學系聽力學與語言治療碩士班,D 日,M 碩士,51,7,44,0,13,3,10,1,12,1,8,1,1,1,0,0,0,0,0
111,01113,特殊教育細學類,適應體育學系,D 日,M 碩士,40,19,21,8,7,5,4,4,5,2,5,0,0,0,0,0,0,0,0
111,01113,特殊教育細學類,適應體育學系,D 日,B 學士,197,125,72,30,23,34,19,21,19,31,9,0,0,0,0,0,0,9,2
111,01113,特殊教育細學類,學前特殊教育碩士在職學位學程,N 職,M 碩士,10,0,10,0,0,0,0,0,0,0,6,0,4,0,0,0,0,0,0
111,01114,教育行政細學類,高等教育經營管理碩士學位學程,D 日,M 碩士,29,9,20,1,6,2,7,3,3,2,3,1,1,0,0,0,0,0,0
111,01114,教育行政細學類,高階教育經營與行政管理馬來西亞境外碩士在職專班,N 職,M 碩士,28,13,15,0,0,0,0,11,14,0,0,0,0,2,1,0,0,0,0
111,01114,教育行政細學類,教育行政研究所,D 日,D 博士,46,23,23,4,4,3,5,7,4,3,4,2,3,2,3,2,0,0,0
111,01114,教育行政細學類,教育行政研究所,D 日,M 碩士,22,9,13,3,3,3,6,1,4,1,0,1,0,0,0,0,0,0,0
111,01114,教育行政細學類,教育行政研究所教育行政碩士在職專班,N 職,M 碩士,28,4,24,1,3,0,7,1,6,1,4,1,4,0,0,0,0,0,0
111,01114,教育行政細學類,教育行政與政策研究所,D 日,M 碩士,48,14,34,3,10,6,10,2,8,3,6,0,0,0,0,0,0,0,0
111,01114,教育行政細學類,教育行政與評鑑研究所,D 日,D 博士,44,18,26,2,5,1,6,4,7,4,2,1,2,2,0,4,4,0,0
111,01114,教育行政細學類,教育行政與評鑑研究所,D 日,M 碩士,43,7,36,1,14,3,8,2,5,1,7,0,1,0,1,0,0,0,0
111,01114,教育行政細學類,教育行政與評鑑研究所,N 職,M 碩士,99,34,65,8,21,8,21,5,9,6,7,4,3,3,4,0,0,0,0
111,01114,教育行政細學類,教育行政與管理學系,D 日,M 碩士,27,11,16,3,6,3,6,3,1,2,3,0,0,0,0,0,0,0,0
111,01114,教育行政細學類,教育行政與管理學系,D 日,B 學士,165,63,102,20,19,11,30,14,30,15,22,0,0,0,0,0,0,3,1
111,01114,教育行政細學類,教育行政與管理學系,N 職,M 碩士,97,25,72,8,20,8,22,4,19,2,7,3,4,0,0,0,0,0,0
111,01114,教育行政細學類,教育政策與行政研究所,D 日,M 碩士,50,13,37,3,12,5,10,4,7,1,8,0,0,0,0,0,0,0,0
111,01114,教育行政細學類,教育政策與行政學系,D 日,D 博士,74,32,42,7,7,2,10,6,5,4,7,8,4,3,3,2,6,0,0
111,01114,教育行政細學類,教育政策與行政學系,D 日,M 碩士,48,14,34,4,10,1,13,2,2,3,3,1,4,3,2,0,0,0,0
111,01114,教育行政細學類,教育政策與行政學系,D 日,B 學士,165,55,110,12,30,13,28,15,24,13,28,0,0,0,0,0,0,2,0
111,01114,教育行政細學類,教育專業與學校領導數位學習碩士在職專班,N 職,M 碩士,4,2,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
111,01114,教育行政細學類,教育經營與管理學系,D 日,B 學士,178,43,135,12,32,8,36,14,28,7,33,0,0,0,0,0,0,2,6
111,01114,教育行政細學類,教育經營與管理學系文教法律碩士班,D 日,M 碩士,57,27,30,6,5,5,8,2,4,5,5,3,2,4,2,2,4,0,0
111,01114,教育行政細學類,教育經營與管理學系原住民文教法律碩士在職專班,N 職,M 碩士,15,6,9,2,3,0,2,1,3,3,1,0,0,0,0,0,0,0,0
